WKT	geopnt_id	dip	strike
"POINT (544642.29382006 7487591.03977592)"	"913"	"40"	"295"
"POINT (542483.22581806 7481908.32718671)"	"1380"	"60"	"275"
"POINT (545142.14967586 7476403.27956483)"	"1450"	"35"	"345"
"POINT (544589.0465898 7474660.25852222)"	"2420"	"45"	"90"
"POINT (542937.75226114 7480363.89112035)"	"2928"	"65"	"295"
"POINT (530515.15279646 7485813.61808323)"	"3308"	"60"	"280"
"POINT (535257.61161618 7499029.61466975)"	"4008"	"40"	"270"
"POINT (529653.28479411 7489335.50974713)"	"4020"	"33"	"290"
"POINT (534215.35909713 7482401.7956682)"	"4907"	"58"	"278"
"POINT (534647.3830305201 7483231.0647016)"	"5561"	"62"	"288"
"POINT (542798.44862517 7481931.79983939)"	"5881"	"60"	"298"
"POINT (521454.19247432 7476047.70487103)"	"7731"	"18"	"155"
"POINT (530225.44994657 7485223.06415469)"	"8590"	"55"	"275"
"POINT (529573.78256421 7483273.83183819)"	"8804"	"30"	"245"
"POINT (531138.1801283601 7486699.0561047)"	"10056"	"70"	"310"
"POINT (548279.32061205 7493304.27929258)"	"10229"	"50"	"100"
"POINT (548279.32061205 7493304.27929258)"	"10230"	"55"	"100"
"POINT (541013.1603918599 7493387.43930108)"	"12346"	"28"	"60"
"POINT (523931.74116463 7473700.519519)"	"13842"	"30"	"330"
"POINT (523931.74116463 7473700.519519)"	"13843"	"29"	"145"
"POINT (536742.2321675899 7490698.33941677)"	"14057"	"28"	"20"
"POINT (548249.15588261 7493512.48955459)"	"14942"	"50"	"100"
"POINT (548249.15588261 7493512.48955459)"	"14943"	"55"	"100"
"POINT (523989.54366251 7500823.54711461)"	"15700"	"63"	"265"
"POINT (544579.16360669 7477239.62658042)"	"17201"	"25"	"15"
"POINT (544816.76522296 7476376.5664788)"	"17403"	"21"	"345"
"POINT (537199.09563866 7490607.57099584)"	"17514"	"28"	"20"
"POINT (532678.47755966 7488131.60125304)"	"17909"	"25"	"295"
"POINT (543234.97739865 7505326.76715363)"	"17962"	"15"	"240"
"POINT (543754.18068029 7504599.12601575)"	"18709"	"15"	"240"
"POINT (530221.4780918401 7485474.50627725)"	"18792"	"55"	"278"
"POINT (532604.36997523 7483996.51451291)"	"18793"	"40"	"280"
"POINT (535197.38414015 7517478.45813017)"	"18794"	"0"	"278"
"POINT (522143.04755332 7478175.84114015)"	"18814"	"30"	"3"
"POINT (520512.91272022 7497506.01464819)"	"18819"	"0"	"75"
"POINT (522441.04068434 7500496.57253559)"	"18820"	"29"	"73"
"POINT (521969.86148165 7509447.16831663)"	"18822"	"52"	"275"
"POINT (520381.30695331 7518189.62331889)"	"18825"	"0"	"5"
"POINT (530017.15473598 7517395.42335177)"	"18862"	"24"	"301"
"POINT (531529.04960378 7516327.45639567)"	"18863"	"0"	"280"
"POINT (536743.75189579 7516699.94325734)"	"18864"	"25"	"79"
"POINT (536864.3112146 7516486.44006065)"	"18865"	"54"	"291"
"POINT (537236.7510334 7516781.94098479)"	"18866"	"19"	"303"
"POINT (538184.36032777 7515938.42518733)"	"18867"	"0"	"288"
"POINT (541284.76000404 7518655.43561188)"	"18868"	"0"	"318"
"POINT (542473.35049011 7515998.89803753)"	"18869"	"0"	"307"
"POINT (541120.39123803 7514974.39459901)"	"18870"	"0"	"283"
"POINT (543245.69673061 7514289.87276969)"	"18871"	"0"	"301"
"POINT (542385.71436976 7515423.89176684)"	"18872"	"0"	"283"
"POINT (540085.08033573 7514695.39822979)"	"18873"	"0"	"289"
"POINT (537926.90666608 7514695.41267879)"	"18874"	"0"	"301"
"POINT (530521.09573314 7513906.41113555)"	"18875"	"0"	"320"
"POINT (529732.18822205 7512580.87491295)"	"18876"	"0"	"273"
"POINT (535856.33026169 7512629.90191351)"	"18877"	"32"	"293"
"POINT (538825.16687886 7511863.37365568)"	"18878"	"9"	"281"
"POINT (541065.40971783 7507289.30875077)"	"18879"	"26"	"47"
"POINT (528702.09351822 7500732.15020471)"	"18880"	"41"	"20"
"POINT (535346.60929794 7499105.69666818)"	"18881"	"40"	"85"
"POINT (542840.13190584 7483390.16323959)"	"18882"	"35"	"284"
"POINT (525820.9460543999 7481790.42211218)"	"18883"	"20"	"61"
"POINT (545223.01655008 7475727.05264709)"	"18896"	"35"	"346"
"POINT (549386.04743933 7474527.11731595)"	"18897"	"10"	"345"
"POINT (554781.52439294 7475058.76273669)"	"18898"	"0"	"350"
"POINT (559486.8888063401 7475661.29293744)"	"18899"	"0"	"344"
"POINT (547742.67588526 7479703.67071575)"	"18900"	"25"	"319"
"POINT (545836.49343094 7478148.11843409)"	"18901"	"15"	"338"
"POINT (550629.45033249 7482157.73377273)"	"18902"	"46"	"300"
"POINT (553784.61691641 7482787.75940606)"	"18903"	"40"	"300"
"POINT (555570.3090945201 7486441.29580547)"	"18905"	"50"	"292"
"POINT (554912.99402906 7485625.28562051)"	"18906"	"70"	"294"
"POINT (544406.7446958 7485143.19779223)"	"18907"	"50"	"289"
"POINT (559180.0624804 7491409.85808041)"	"18908"	"48"	"78"
"POINT (554304.93348599 7496947.32598323)"	"18909"	"35"	"78"
"POINT (545557.03288211 7494696.21808249)"	"18910"	"15"	"272"
"POINT (560867.20522126 7497862.36187853)"	"18911"	"10"	"276"
"POINT (553905.120414 7505481.85031989)"	"18912"	"0"	"58"
"POINT (562663.9448064 7506741.50979555)"	"18913"	"11"	"340"
"POINT (544921.82941261 7514333.36252441)"	"18914"	"35"	"350"
"POINT (544708.1991889901 7514108.86119291)"	"18915"	"33"	"310"
"POINT (547332.0660107801 7516113.86829699)"	"18916"	"28"	"37"
"POINT (547704.52567933 7513884.34170986)"	"18917"	"34"	"275"
"POINT (554929.61134409 7515160.85629446)"	"18918"	"15"	"60"
"POINT (548756.28656105 7517165.36829682)"	"18919"	"25"	"82"
"POINT (544752.0810642 7517757.4051659)"	"18920"	"0"	"72"
"POINT (552049.0524019999 7487780.78569838)"	"24354"	"28"	"300"
"POINT (547640.63848022 7513734.467746)"	"24397"	"34"	"94"
"POINT (538617.61984384 7511806.72349882)"	"24404"	"9"	"101"
"POINT (538806.0275651501 7483993.09306394)"	"24427"	"63"	"280"
"POINT (548578.04664895 7517242.93275268)"	"24443"	"25"	"84"
"POINT (562613.59447835 7506579.00298373)"	"24475"	"11"	"160"
"POINT (535859.02692715 7512398.30549352)"	"24480"	"32"	"111"
"POINT (542344.84155478 7481763.35785815)"	"24523"	"60"	"275"
"POINT (552049.0524019999 7487780.78569838)"	"24546"	"80"	"300"
"POINT (545003.74120558 7476258.34758436)"	"24646"	"35"	"345"
"POINT (547242.81740116 7516046.24923983)"	"24658"	"28"	"215"
"POINT (552075.59216311 7487793.53622728)"	"24787"	"28"	"300"
"POINT (534509.05712922 7483086.09249821)"	"24830"	"62"	"288"
"POINT (536729.5649796 7516597.33613236)"	"24851"	"25"	"258"
"POINT (546137.8575609 7494606.69912057)"	"24936"	"15"	"270"
"POINT (540038.91207275 7506751.82918475)"	"24990"	"28"	"248"
"POINT (529955.11858467 7517212.37448649)"	"25004"	"24"	"121"
"POINT (537101.10259263 7516513.64798743)"	"25048"	"19"	"298"
"POINT (552075.59216311 7487793.53622728)"	"25090"	"80"	"300"
"POINT (521796.72185923 7509376.56236277)"	"25130"	"52"	"91"
"POINT (553087.89226931 7484583.49215226)"	"25164"	"64"	"330"
"POINT (544671.5774674 7513917.04057533)"	"25238"	"33"	"129"
"POINT (539933.7822252 7483374.35640366)"	"25289"	"60"	"295"
"POINT (521993.39933415 7508834.9892679)"	"25437"	"60"	"81"
"POINT (542660.06207832 7481786.83007108)"	"25510"	"60"	"298"
"POINT (544608.89803516 7514084.37259684)"	"25521"	"35"	"352"
"POINT (553113.25097797 7484612.18583151)"	"25551"	"64"	"150"
"POINT (544512.13000453 7514096.8288444)"	"25565"	"26"	"315"
"POINT (529219.05316166 7512991.48314111)"	"25644"	"24"	"140"
"POINT (534077.03565985 7482256.82978454)"	"25650"	"58"	"278"
"POINT (536789.57090088 7516217.95425832)"	"25696"	"54"	"110"
"POINT (560770.73473289 7497966.2030757)"	"25702"	"10"	"100"
"POINT (537020.13400936 7516172.5715585)"	"25840"	"24"	"91"
"POINT (559881.96804876 7490671.20867738)"	"25842"	"50"	"95"
